"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Wabzex","Lavender","This pill will give the user the ability to decentralise any financial or governmental institution by inputting its name 5 times into a mirror server.","Lavender","Accidentally decentralizing their own personal finances, rendering their bank account inaccessible.","Lavender"
"Seraphinite","Magenta","Witness a fireworks extravaganza in technicolour alongside Cleopatra in Llanfairpwllgwyngyll.","Magenta","Inclination to knit scarves for statues.","Magenta"
"Hippers","Forest Green","This pill will make the user feel like they have gone rogue from their top-secret organization.","Forest Green","Erratic behavior and attempts to ""complete the mission"" can lead to real-life consequences.","Forest Green"
"Barye","Lilac","This pill will give the user the ability to fall into a state of wonderment upon seeing two or more species of bird interacting with one another.","Lilac","Developing a mild telepathic connection with garden gnomes.","Lilac"
"Mecrorhil","Amber","This pill will enable the user to identify any tree then ascend it like a squirrel.","Amber","Vertigo.","Amber"
"Mirepoix19","Forest Green","This pill will make the user have an intense hallucinatory experience when visiting the in-laws.","Forest Green","Hallucinating bizarre family secrets during visits to the in-laws.","Forest Green"
"Glaint","Forest Green","This pill will make the user shout lines from CSI: New York when they come across a chimpanzee.","Forest Green","Quoting CSI: New York lines while observing chimpanzees.","Forest Green"
"Squeak","Magenta","This pill will give the user devastatingly impeccable dress sense.","Magenta","Inexplicably starting to dress in Victorian-era attire.","Magenta"
"Fyrewall","Lemon Yellow","This pill will give the user focus when faced with 50+ open browser tabs.","Lemon Yellow","Memorable hallucinatory experiences with a Chihuahua.","Lemon Yellow"
"Mancers","Lilac","This pill will give the user the ability to startle people into handing over their Haribo.","Lilac","Unexpected sugar crashes.","Lilac"
"Eimeria","Magenta","This pill will make the user be able to turn their Megapont ape into a pet.","Magenta","Developing an irresistible urge to train exotic pets for circus performances.","Magenta"
"Stigs","Lilac","This pill gives the user the power to mix up lawyers with their speed paper shuffling.","Lilac","Stomach twitching in reaction to radishes in salads.","Lilac"
"Lazapraside","Forest Green","This pill encourages provocation of others.","Forest Green","Compulsion to start a support group upon reading the word ""yummy"".","Forest Green"
"Wurbex","Bright Blue","This pill will make the user feel heroic when they see a pigeon in distress.","Bright Blue","Compulsion to feed city birds.","Bright Blue"
"Eyeglassopane","Magenta","This pill will make the user be able to read one sentence of a children's book and the child will fall asleep.","Magenta","Overuse of the word 'bifurcate'.","Magenta"
"Zerth","Violet","This pill will grant the user the ability to comfort people who have accidentally spilled food on themselves in public.","Violet","Uncontrollable frothing from the mouth upon hearing the phrase ""buy-in"".","Violet"
"Gupzo","Neon Green","This pill will make the user have a funny quip in answer to any spoken statement.","Neon Green","Humour is subjective and excessive use may result in verbal or physical violence directed at user.","Neon Green"
"Smushtonite","Pastel Yellow","This pill allows the user to travel to and manipulate the astral plane.","Pastel Yellow","Uncontrollable cravings for pumpkin casserole.","Pastel Yellow"
"Shapted","Magenta","This pill will implant in the user memories of enjoying an oxymoronic soiree with famous thinkers in Coober Pedy.","Magenta","Accidentally becoming an often cited expert in chamber music.","Magenta"
"Etherion","Lemon Yellow","This pill will make the user be able to deep sleep for exactly 20 minutes.","Lemon Yellow","Amnesia on waking and bed-wetting.","Lemon Yellow"
"ChanelVyse","Forest Green","This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Coco Chanel.","Forest Green","Suddenly feeling an irresistible urge to design eccentric haute couture fashion.","Forest Green"
"Ethereaph","Violet","This pill grants the user the ability to feel strong compassion towards struggling street performers despite finding them annoying.","Violet","Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""sink"".","Violet"
"Turvix","Wine Red","This pill will make the user an expert in evolutionary oceanography.","Wine Red","Intense love for seashell jewelry.","Wine Red"
"Slippoon","Lilac","This pill will give the user the feeling of having major religious moments while attending the annual Global Atheist Convention.","Lilac","Involuntarily humming national anthems when brushing teeth.","Lilac"
"Piercenia","Violet","This pill will give the user the power to forgive any neighbour who thoughtlessly violated their privacy with CCTV.","Violet","Inability to resist eavesdropping on others' conversations and offering unsolicited advice.","Violet"
"Spiffoon","Magenta","This pill will make the user feel like they are generous when they're with loved ones.","Magenta","Becoming an impulsive gift giver, even to complete strangers.","Magenta"
"Millytonite","Amber","This pill will make the user be able to fuse bodies with anyone they're attracted to.","Amber","Intermittent competing over motor functions and confused speech.","Amber"
"Barnerot","Violet","This pill will make the user be able to face their biggest fear.","Violet","Difficulty recognizing personal boundaries, leading to bold actions.","Violet"
"Kadreotrium","Forest Green","This pill will make the user be able to call upon the Darkness to take out their enemies.","Forest Green","Temporary transmogrification into an inchworm.","Forest Green"
"Yogyogs","Magenta","This pill brings endless fun and laughter when performing as a mime.","Magenta","Claiming to have popularised the phrase: “You're the man now, dog!”.","Magenta"
"Omifi","Wine Red","This pill will make the user an expert in stereohydrostatistics.","Wine Red","Inability to stop quoting Ronald McDonald.","Wine Red"
"Lizoon","Forest Green","This pill lets the user embody the mapmaker who almost stranded Magellan's fleet with a wildly inaccurate map.","Forest Green","A tendency towards blaming people for one's own problems at parties.","Forest Green"
"Tunchy","Amber","This pill will make the user able to revolutionize the world with a groundbreaking invention.","Amber","Inability to stop quoting Adele.","Amber"
"Procrastinull","Amber","Temporarily cures chronic procrastination.","Amber","May cause hyperactivity and the urge to complete every task immediately.","Amber"
"Sesheurium","Forest Green","This pill will make the user feel ashamed when with their partner’s parents.","Forest Green","Incorrect use of the word 'garrulous'.","Forest Green"
"Celestialite","Lemon Yellow","This pill lets the user resist the urge to eat an entire packet of biscuits.","Lemon Yellow","Claiming NASA have a secret control centre underneath the city of Riga.","Lemon Yellow"
"Gwixilent","Bright Blue","This pill will give the user the strength to be bold when making decisions that affect their career.","Bright Blue","Temporary overconfidence in their abilities.","Bright Blue"
"Bloppiche","Lilac","This pill gives the user the ability to move school pupils with their sewing.","Lilac","Cravings for fried chicken just as one's falling asleep.","Lilac"
"Twirbles","Amber","This pill will enable the user to carry up to 7 heavy shopping bags with their pinkie finger.","Amber","Users report permanent unsightly elongation of one or both arms following prolonged use.","Amber"
"Maghreb","Violet","This pill allows those with a low tolerance for douchebags to not dismiss the feelings of Wall Street traders.","Violet","Answering every question with: ""It is against the law to pass a horse on the street."".","Violet"
"Weelopane","Magenta","The pill enhances the user's perception of colours.","Magenta","Potentially unhealthy obsession with Friends.","Magenta"
