ID	NAME	Primary Compound	Secondary Compound	Effect	Side-Effect	Expression	Expression	Total Count	Group Size (Rarity)	Group Name	Color (Hex)	Color (RGB)
1875	Nubfil	#ffde00	#ff00ff	This pill will make the user an expert in seismometrics.	Compulsive need to hug trees during thunderstorms	#741b47						
1876	Isidore	#ff00ff	#ff00ff	This pill gives the user the power to madden criminals with their underwater basket weaving.	Incorrect use of the word 'sapphire'.	#cb97ff						
1877	Stoe	#ff00ff	#fc8300	This pill will grant the user the strength to show mercy to anyone who ruined their dinner.	Uncontrollable desire to open a theme park dedicated to obscure historical events.	#9900ff						
1878	Sproutitinol	#fc8300	#903ef9	This pill will give the user the strength to be tactless when it doesn't come naturally to them.	Needy body language.	#38761d						
1879	Grindy	#903ef9	#54e507	This pill will give the user the ability to anonymously slander oil rig workers.	Enchanted forest around the groin.	#ffd966						
1880	Jucliasten	#ffedd7	#ff00ff	This pill will enable the user to break the world record for the most people inside a soap bubble.	Constructing a 1:100 scale model of Cambridge.	#ff00ff						
1881	Rheumic	#54e507	#ffde00	This pill gives the user the ability to split table tennis tables with their fists.	May cause the user to speak in reverse if taken whenever a palindrome is encountered.	#38761d						
1882	Stoover	#ff00ff	#ff00ff	This pill gives the user the ability to perplex prisoners with their freestyle football.	Inability to stop quoting George Bernard Shaw.	#cb97ff						
1883	Gagreflex	#ff00ff	#54e507	This pill gives the user the ability to melt helicopters with their breath.	May cause temporary inability to recognize the letter "Q" when used in written or spoken communication	#38761d						
1884	Papayax	#ffde00	#903ef9	This pill will give the user the strength to forgive any band who didn't play their favourite songs at a concert.	Compulsively humming the theme song of a random 90's TV show.	#9900ff						
1885	Pineaptemol	#ff00ff	#54e507	Makes the user's skin smell of pineapple	If taken for an extended period of time can lead to friends commenting that the user is more spiky than usual	#ff9900						
1886	Grizlop	#ffde00	#ffde00	This pill will give the user the strength of a hawk.	A compulsion to play the audiobook of Silent Spring by Rachel Carson on headphones full blast while moshing on the bus.	#0000ff						
1887	Muggier	#903ef9	#903ef9	This pill will make the user lose their mind whenever they see a bowl of cereal.	Inability to stop quoting Confucius.	#38761d						
1888	Pairationsells	#54e507	#903ef9	This pill will make the user feel brave while copulating.	Freakishly bulbous heels.	#38761d						
1889	Shawell	#54e507	#ff00ff	Immerse yourself in a realm of colourful fantasies with legends	Unpredictable behaviour after hearing the word "obnoxious".	#ff00ff						
1890	Surinam	#ffde00	#ffde00	This pill helps resist sending text messages past midnight.	Inability to not chase after nuns.	#ffff00						
1891	Smags	#903ef9	#54e507	This pill will make the user feel as if they've unlocked the secret language of taxi drivers.	Severe allergic reaction to the phrase "my bad".	#ff00ff						
1892	Quibzit	#ff0000	#ffde00	This pill will make the user bold with colour choices when redecorating the lounge.	Gradual morphing into a sulcata tortoise.	#0000ff						
1893	Baguio	#ffedd7	#ff00ff	This pill will make the user amazing at ice skating.	Intense fear of espresso martinis.	#cb97ff						
1894	Biermer	#ffde00	#903ef9	This pill will give the user the ability to revolutionise an industry or field with a new invention or idea.	Occasionally causes the user to turn into a toaster if taken with bread nearby	#ff9900						
1895	Antiscott	#ff00ff	#fc8300	This pill enhances the user's creativity and imagination.	Chronic bad breath when on trains.	#ff00ff						
1896	Urzala	#903ef9	#54e507	This pill gives the user the ability to turn stinging nettles into roses by urinating on them.	Uncontrollable urges to stop and smell the roses.	#7f6000						
1897	Farch	#54e507	#903ef9	This pill will make the user's voice becomes a perfect blend of Morgan Freeman and David Attenborough, making everything they say extremely wise.	Bulbous kneecaps.	#ff9900						
1898	Tighland	#54e507	#ffde00	This pill will grant you the power to turn any ordinary object into a piñata, making every day a fiesta filled with surprises and laughter.	Overuse of the word 'kangaroo'.	#9900ff						
1899	Choked	#ffde00	#ff00ff	This pill will give the user the ability to recondition their brain to love eating vegetables instead of junk food.	A tendency to find oneself alone in Birmingham.	#ff9900						
1900	Bordeaux18	#ff00ff	#54e507	This pill gives the user the ability to disconcert prisoners with their scuba diving stories.	Feathered thighs.	#cb97ff						
1901	Cheekne	#54e507	#ffde00	This pill gives the user the power to strike philosophers with their wine knowledge.	Fear of interesting books.	#cb97ff						
1902	Diffetruction	#903ef9	#903ef9	This pill will make the user feel isolated whilst driving.	Morbidly distracting fascination with traffic cones for several days following use.	#38761d						
1903	Skroink	#ffde00	#54e507	This pill will make the user shout lines from Mythbusters whenever they see an elephant.	Giving off a faint odour of a beaver.	#38761d						
1904	Hypnosis	#ff00ff	#ffde00	This pill gives the user the power to impress soldiers with their wine pairing.	Urge to leave the room as quickly as possible upon hearing the phrase "get on board".	#cb97ff						
1905	Mangosteenz	#903ef9	#ff00ff	This pill gives the user the power to madden bank clerks with their ice swimming.	A compulsion to play the audiobook of Truman by David McCullough on headphones full blast while moshing on the bus.	#cb97ff						
1906	Dillies	#ffde00	#ff00ff	This pill allows the user to empathize with people who accidentally wear their clothes inside-out in public.	Dispirited body language.	#9900ff						
1907	Vlazitor	#ffedd7	#ff00ff	This pill will make the user undaunted by huge amounts of laundry.	Compulsive folding and sorting of clothes.	#0000ff						
1908	Hender	#ff00ff	#ff00ff	This pill gives the user the ability to stun musicians with their backwards rapping.	A tendency to find oneself in Bucharest.	#cb97ff						
1909	Barmy	#ffde00	#ffedd7	This pill will make the user sing the theme tune from Malcolm in the Middle whenever they see an image of a koala.	Idiosyncratic fascination with beliefs.	#ff00ff						
1910	Chivisection	#ff00ff	#54e507	This pill gives the user the power to sully musicians with their improv acting.	Invading Marseille.	#cb97ff						
1911	Jibbist	#ffde00	#ffde00	This pill will make the user a master of comedic timing	People may not take the user seriously in important situations.	#00ff00						
1912	Wixlorn	#54e507	#54e507	This pill will make the user superhuman when they go commando.	A proclivity for unwanted bongo playing at parties.	#0000ff						
1913	Bluntitinax	#ffde00	#54e507	This pill will implant in the user memories of sharing benevolence with Ida B. Wells in a vivid dreamscape.	Painful contraction and expansion of the nostrils.	#ff00ff						
1914	Yoprin	#ff00ff	#ffde00	This pill will give the user the strength to be tactful when they're feeling the complete opposite.	Struggling with honesty, leading to a tendency to sugarcoat the truth.	#9900ff						
1915	Pneuma	#ff00ff	#54e507	This pill gives the user the willpower to only press the "snooze" button once.	Sweating in reaction to wine drinkers.	#ffff00						
1916	Buerger	#0bc4ff	#ff00ff	This pill will gain the user $5k when they see a human with a rat.	Intense fear of plates.	#cb97ff						
1917	Skovilt	#ffedd7	#ffde00	This pill will give the user perseverance when up against stiff competition in a chilli eating competition.	Persistent references made to C.S. Lewis.	#ffff00						
1918	Stason	#ff00ff	#ff00ff	This pill will turn any argument into a hilarious rap battle, diffusing tension and bringing people together through the power of rhyme.	Intense fear of girl bands.	#9900ff						
1919	Kerz	#903ef9	#54e507	This pill will make the user sing the theme tune from SpongeBob SquarePants when they come across a chimpanzee.	Intermittently morphing into a squid.	#ff00ff						
1920	Chilteptopan	#ff00ff	#ffedd7	Eases the rage felt when tense and a person tells you to relax	Can also occasionally make the user more susceptible to cult leaders	#38761d						
1921	Flexipathos	#ffde00	#ffde00	This pill will give the user the ability to show patience to slow learners.	Uncontrollable laughter when encountering bubble wrap.	#9900ff						
1922	Reilight	#903ef9	#903ef9	This pill will make the user mute for 2 minutes upon seeing a hair ribbon.	Inability to stop quoting Dwight D. Eisenhower.	#38761d						
1923	Goligordon	#903ef9	#ffedd7	This pill will make users experts at verbal wordplay and puns	Inability to resist making inappropriate jokes.	#38761d						
1924	Determinilive	#ff00ff	#903ef9	This pill will make the user act in a cynical fashion when shopping with others.	Complete inability to find one's right armpit.	#ffd966						
1925	Rinking	#903ef9	#ffde00	This pill causes the user to challenge their own decisions	Difficulty making choices without extensive deliberation.	#38761d						
1926	Heached	#54e507	#ffde00	This pill will give the user the ability to replace their own memories with memories of their favorite fictional characters.	Hallucinatory journeys to a planet made entirely of low-grade chocolate.	#ff9900						
1927	Ceocit	#ff00ff	#903ef9	This pill will make the user an expert in civil geotopoinformatics.	Overuse of the word 'x-ray'.	#741b47						
1928	Opake	#ffde00	#903ef9	This pill will give the user the ability to turn invisible, but only when nobody is looking	Horrified body language.	#ffff00						
1929	Rationalilive	#ffedd7	#ffedd7	This pill allows to user to strongly empathise with portable toilet cleaners.	Hourly cravings for a glass of sour milk.	#9900ff						
1930	Yine	#54e507	#fc8300	This pill allows the user to manipulate and control the elements.	Uncontrollable urge to watch weather forecasts.	#ff9900						
1931	Squibitinax	#ff00ff	#54e507	This pill will give the user the ability to overcome obstacles when they are tackling a difficult project.	Inability to not draw similarities between oneself and Thomas Jefferson.	#ffff00						
